,X20,Y20
0,368.6,755.04
1,220.5,464.64
2,169.5,348.48
3,134,280.72
4,102.7,212.96
5,87.8,183.92
6,78,164.56
7,67.9,135.52
8,63.2,125.84
9,56.6,116.16
